18 Electron Rule	<font size=5>\n18 Electron Rule\n</font><br>\n18 电子则\n
Spent Acid	<font size=5>\nSpent Acid\n</font><br>\n废酸\n
Spent Lye	<font size=5>\nSpent Lye\n</font><br>\n废碱液\n
Spermaceti	<font size=5>\nSpermaceti\n</font><br>\n鲸蜡\n
Spermidine	<font size=5>\nSpermidine\n</font><br>\n精脒\n
Spermine	<font size=5>\nSpermine\n</font><br>\n精胺\n
Sperm Oil	<font size=5>\nSperm Oil\n</font><br>\n抹香鲸脑油\n
Sphalerite	<font size=5>\nSphalerite\n</font><br>\n闪锌矿\n
Sphere Of Action	<font size=5>\nSphere Of Action\n</font><br>\n酌球\n
Spherical Condenser	<font size=5>\nSpherical Condenser\n</font><br>\n球形冷凝器\n
Spherical Flask	<font size=5>\nSpherical Flask\n</font><br>\n球形长颈瓶\n
Spherulite	<font size=5>\nSpherulite\n</font><br>\n球晶\n
Sphingolipid	<font size=5>\nSphingolipid\n</font><br>\n鞘脂类\n
Sphingomyelin	<font size=5>\nSphingomyelin\n</font><br>\n鞘髓磷脂\n
Sphingosine	<font size=5>\nSphingosine\n</font><br>\n鞘氨醇\n
Spin	<font size=5>\nSpin\n</font><br>\n自旋\n
Spinacene	<font size=5>\nSpinacene\n</font><br>\n鲨鱼烯\n
Spindle	<font size=5>\nSpindle\n</font><br>\n液体比重计;轴\n
Spindle Oil	<font size=5>\nSpindle Oil\n</font><br>\n锭子油\n
Spinel	<font size=5>\nSpinel\n</font><br>\n尖晶石\n
Spin Label	<font size=5>\nSpin Label\n</font><br>\n自旋标记物\n
Spinnability	<font size=5>\nSpinnability\n</font><br>\n可纺性\n
Spinneret	<font size=5>\nSpinneret\n</font><br>\n喷丝头\n
Spinning	<font size=5>\nSpinning\n</font><br>\n纺丝\n
Spinning Bath	<font size=5>\nSpinning Bath\n</font><br>\n纺丝浴\n
Spinning Machine	<font size=5>\nSpinning Machine\n</font><br>\n纺丝机\n
Spinning Property	<font size=5>\nSpinning Property\n</font><br>\n可纺性\n
Spinning Pump	<font size=5>\nSpinning Pump\n</font><br>\n纺丝泵\n
Spinning Solution	<font size=5>\nSpinning Solution\n</font><br>\n纺丝液\n
Spinodal Decomposition	<font size=5>\nSpinodal Decomposition\n</font><br>\n旋节线分解\n
Spin Orbit Interaction	<font size=5>\nSpin Orbit Interaction\n</font><br>\n自旋轨道相互酌\n
Spin Quantum Number	<font size=5>\nSpin Quantum Number\n</font><br>\n自旋量子数\n
Spin Wave	<font size=5>\nSpin Wave\n</font><br>\n自旋波\n
Spiral Condencer	<font size=5>\nSpiral Condencer\n</font><br>\n旋管冷却器\n
Spiral Condenser	<font size=5>\nSpiral Condenser\n</font><br>\n旋管冷凝器\n
Spiral Cooler	<font size=5>\nSpiral Cooler\n</font><br>\n旋管冷却器\n
Spiral Heat Exchanger	<font size=5>\nSpiral Heat Exchanger\n</font><br>\n螺旋型换热器\n
Spiral Plate Exchanger	<font size=5>\nSpiral Plate Exchanger\n</font><br>\n旋板换热器\n
Spirane	<font size=5>\nSpirane\n</font><br>\n螺环化合物\n
Spirit	<font size=5>\nSpirit\n</font><br>\n酒精\n
Spirit Color	<font size=5>\nSpirit Color\n</font><br>\n醇溶染料\n
Spirit Lamp	<font size=5>\nSpirit Lamp\n</font><br>\n酒精灯\n
Spirit Stain	<font size=5>\nSpirit Stain\n</font><br>\n酒精着色剂\n
Spirit Varnish	<font size=5>\nSpirit Varnish\n</font><br>\n醇溶清漆\n
Spiro Compound	<font size=5>\nSpiro Compound\n</font><br>\n螺环化合物\n
Split Product	<font size=5>\nSplit Product\n</font><br>\n裂解产物\n
Splitting	<font size=5>\nSplitting\n</font><br>\n分解\n
Spodumene	<font size=5>\nSpodumene\n</font><br>\n锂辉石\n
Sponge	<font size=5>\nSponge\n</font><br>\n海绵\n
Sponge Rubber	<font size=5>\nSponge Rubber\n</font><br>\n海绵状橡皮\n
Spongin	<font size=5>\nSpongin\n</font><br>\n海绵硬朊\n
Sponginess	<font size=5>\nSponginess\n</font><br>\n海绵质\n
Spontaneous Combustion	<font size=5>\nSpontaneous Combustion\n</font><br>\n自然燃烧\n
Spontaneous Crystallization	<font size=5>\nSpontaneous Crystallization\n</font><br>\n自发结晶\n
Spontaneous Emission	<font size=5>\nSpontaneous Emission\n</font><br>\n自发发射\n
Spontaneous Heating	<font size=5>\nSpontaneous Heating\n</font><br>\n自然加热\n
Spontaneous Ignition	<font size=5>\nSpontaneous Ignition\n</font><br>\n自发着火\n
Spontaneous Ignition Temperature	<font size=5>\nSpontaneous Ignition Temperature\n</font><br>\n自燃温度\n
Spontaneous Process	<font size=5>\nSpontaneous Process\n</font><br>\n自发过程\n
Spot	<font size=5>\nSpot\n</font><br>\n斑点\n
Spot Analysis	<font size=5>\nSpot Analysis\n</font><br>\n点滴分析\n
Spot Plate	<font size=5>\nSpot Plate\n</font><br>\n滴试板\n
Spot Reaction	<font size=5>\nSpot Reaction\n</font><br>\n点滴反应\n
Spot Test	<font size=5>\nSpot Test\n</font><br>\n点滴试验\n
Spray Coating	<font size=5>\nSpray Coating\n</font><br>\n喷雾涂布\n
Spray Dryer	<font size=5>\nSpray Dryer\n</font><br>\n喷雾干燥器\n
Spray Drying	<font size=5>\nSpray Drying\n</font><br>\n喷雾干燥\n
Spray Dyeing	<font size=5>\nSpray Dyeing\n</font><br>\n喷雾染色\n
Sprayer	<font size=5>\nSprayer\n</font><br>\n喷雾器\n
Spray Gun	<font size=5>\nSpray Gun\n</font><br>\n喷射枪\n
Spraying	<font size=5>\nSpraying\n</font><br>\n喷雾\n
Spraying Burner	<font size=5>\nSpraying Burner\n</font><br>\n喷射燃烧器\n
Spray Lacquer	<font size=5>\nSpray Lacquer\n</font><br>\n喷漆\n
Spray Nozzle	<font size=5>\nSpray Nozzle\n</font><br>\n喷嘴\n
Spray Polymerization	<font size=5>\nSpray Polymerization\n</font><br>\n喷雾聚合\n
Spray Sizing	<font size=5>\nSpray Sizing\n</font><br>\n喷雾上浆\n
Spray Tower	<font size=5>\nSpray Tower\n</font><br>\n喷雾塔\n
Spray Water Proofing	<font size=5>\nSpray Water Proofing\n</font><br>\n喷雾防水\n
Spring Balance	<font size=5>\nSpring Balance\n</font><br>\n弹簧秤\n
Spring Manometer	<font size=5>\nSpring Manometer\n</font><br>\n弹黄压力计\n
Spun Fiber	<font size=5>\nSpun Fiber\n</font><br>\n纺成纤维\n
Squalene	<font size=5>\nSqualene\n</font><br>\n鲨鱼烯\n
Square Error	<font size=5>\nSquare Error\n</font><br>\n平方误差\n
Square Hole Sieve	<font size=5>\nSquare Hole Sieve\n</font><br>\n方孔筛\n
Ss Acid	<font size=5>\nSs Acid\n</font><br>\nSs酸\n
Stab Culture	<font size=5>\nStab Culture\n</font><br>\n穿刺培养\n
Stability	<font size=5>\nStability\n</font><br>\n稳定性\n
Stability Constant	<font size=5>\nStability Constant\n</font><br>\n稳定常数\n
Stability Test	<font size=5>\nStability Test\n</font><br>\n稳定性试验\n
Stabilization	<font size=5>\nStabilization\n</font><br>\n稳定化\n
Stabilized Gasoline	<font size=5>\nStabilized Gasoline\n</font><br>\n稳定汽油\n
Stabilizer	<font size=5>\nStabilizer\n</font><br>\n稳定剂\n
Stable Equilibrium	<font size=5>\nStable Equilibrium\n</font><br>\n稳定平衡\n
Stable Isotope	<font size=5>\nStable Isotope\n</font><br>\n稳定同位素\n
Stactometer	<font size=5>\nStactometer\n</font><br>\n滴量计\n
Stain	<font size=5>\nStain\n</font><br>\n着色剂\n
Stained Glass	<font size=5>\nStained Glass\n</font><br>\n彩色玻璃\n
Staining Method	<font size=5>\nStaining Method\n</font><br>\n着色法\n
Stainless Steel	<font size=5>\nStainless Steel\n</font><br>\n不锈钢\n
Stalactite	<font size=5>\nStalactite\n</font><br>\n钟乳石\n
Stalagmite	<font size=5>\nStalagmite\n</font><br>\n石笋\n
Stalagmometer	<font size=5>\nStalagmometer\n</font><br>\n滴重计\n
Stand	<font size=5>\nStand\n</font><br>\n架台\n
Standard	<font size=5>\nStandard\n</font><br>\n标准\n
Standard Cell	<font size=5>\nStandard Cell\n</font><br>\n标准电池\n
Standard Cellulose	<font size=5>\nStandard Cellulose\n</font><br>\n标准纤维素\n
Standard Deviation	<font size=5>\nStandard Deviation\n</font><br>\n标准偏差\n
Standard Electrode	<font size=5>\nStandard Electrode\n</font><br>\n标准电极\n
Standard Electrode Potential	<font size=5>\nStandard Electrode Potential\n</font><br>\n标准电极势\n
Standard Hydrogen Electrode	<font size=5>\nStandard Hydrogen Electrode\n</font><br>\n标准氢电极\n
Standard Illuminant	<font size=5>\nStandard Illuminant\n</font><br>\n标准光源\n
Standardization	<font size=5>\nStandardization\n</font><br>\n标定\n
Standard Pressure	<font size=5>\nStandard Pressure\n</font><br>\n标准压力\n
Standard Sample	<font size=5>\nStandard Sample\n</font><br>\n标准试样\n
Standard Sand	<font size=5>\nStandard Sand\n</font><br>\n标准砂\n
Standard Solution	<font size=5>\nStandard Solution\n</font><br>\n标准溶液\n
Standard State	<font size=5>\nStandard State\n</font><br>\n标准状态\n
Standard Temperature	<font size=5>\nStandard Temperature\n</font><br>\n标准温度\n
Stand Oil	<font size=5>\nStand Oil\n</font><br>\n熟油\n
Stannate	<font size=5>\nStannate\n</font><br>\n锡酸盐\n
Stannic Acid	<font size=5>\nStannic Acid\n</font><br>\n锡酸\n
Stannic Chloride	<font size=5>\nStannic Chloride\n</font><br>\n氯化锡\n
Stannic Oxide	<font size=5>\nStannic Oxide\n</font><br>\n二氧化锡\n
Stannic Salt	<font size=5>\nStannic Salt\n</font><br>\n正锡盐\n
Stannite	<font size=5>\nStannite\n</font><br>\n黄锡矿\n
Stannous Chloride	<font size=5>\nStannous Chloride\n</font><br>\n二氯化锡\n
Stannous Hydroxide	<font size=5>\nStannous Hydroxide\n</font><br>\n氢氧化亚锡\n
Stannous Oxide	<font size=5>\nStannous Oxide\n</font><br>\n氧化亚锡\n
Stannous Salt	<font size=5>\nStannous Salt\n</font><br>\n亚锡盐\n
Staphylococcus	<font size=5>\nStaphylococcus\n</font><br>\n葡萄球菌\n
Staple Fiber	<font size=5>\nStaple Fiber\n</font><br>\n切断纤维\n
Staple Fiber Spinning	<font size=5>\nStaple Fiber Spinning\n</font><br>\n短纤维纺纱\n
Starch	<font size=5>\nStarch\n</font><br>\n淀粉\n
Starch Granule	<font size=5>\nStarch Granule\n</font><br>\n淀粉粒\n
Starch Iodine Paper	<font size=5>\nStarch Iodine Paper\n</font><br>\n碘化物淀粉纸\n
Starch Paste	<font size=5>\nStarch Paste\n</font><br>\n淀粉糊\n
Starch Sirup	<font size=5>\nStarch Sirup\n</font><br>\n淀粉糖汁\n
Starch Sugar	<font size=5>\nStarch Sugar\n</font><br>\n淀粉糖\n
Starch Value	<font size=5>\nStarch Value\n</font><br>\n淀粉值\n
Starting Material	<font size=5>\nStarting Material\n</font><br>\n起始物料\n
State Analysis	<font size=5>\nState Analysis\n</font><br>\n状态分析\n
State Of Aggregation	<font size=5>\nState Of Aggregation\n</font><br>\n聚集状态\n
Static Bed	<font size=5>\nStatic Bed\n</font><br>\n固定床\n
Static Friction	<font size=5>\nStatic Friction\n</font><br>\n静摩擦\n
Static Pressure	<font size=5>\nStatic Pressure\n</font><br>\n静压\n
Stationary Flow	<font size=5>\nStationary Flow\n</font><br>\n定常流\n
Stationary Furnace	<font size=5>\nStationary Furnace\n</font><br>\n固定炉\n
Stationary Mercury Electrode	<font size=5>\nStationary Mercury Electrode\n</font><br>\n固定汞电极\n
Stationary Phase	<font size=5>\nStationary Phase\n</font><br>\n固定相\n
Stationary Process	<font size=5>\nStationary Process\n</font><br>\n定常过程\n
Stationary State	<font size=5>\nStationary State\n</font><br>\n定常状态\n
Statistic	<font size=5>\nStatistic\n</font><br>\n统计量\n
Statistical Error	<font size=5>\nStatistical Error\n</font><br>\n统计误差\n
Statistical Quality Control	<font size=5>\nStatistical Quality Control\n</font><br>\n统计质量控制\n
Statistical Test	<font size=5>\nStatistical Test\n</font><br>\n统计检验\n
Statistical Thermodynamics	<font size=5>\nStatistical Thermodynamics\n</font><br>\n统计热力学\n
Statistic Data	<font size=5>\nStatistic Data\n</font><br>\n统计资料\n
Statistic Mechanics	<font size=5>\nStatistic Mechanics\n</font><br>\n统计力学\n
Statoscope	<font size=5>\nStatoscope\n</font><br>\n微动气压器\n
Steady Flow	<font size=5>\nSteady Flow\n</font><br>\n定常流\n
Steady State	<font size=5>\nSteady State\n</font><br>\n定常状态\n
Steam	<font size=5>\nSteam\n</font><br>\n水蒸汽\n
Steam Bath	<font size=5>\nSteam Bath\n</font><br>\n蒸汽浴\n
Steam Boiler	<font size=5>\nSteam Boiler\n</font><br>\n蒸汽锅炉\n
Steam Calorimeter	<font size=5>\nSteam Calorimeter\n</font><br>\n蒸汽热量计\n
Steam Coil	<font size=5>\nSteam Coil\n</font><br>\n蒸汽旋管\n
Steam Consumption	<font size=5>\nSteam Consumption\n</font><br>\n蒸汽消耗\n
Steam Distillation	<font size=5>\nSteam Distillation\n</font><br>\n蒸汽蒸馏\n
Steam Drier	<font size=5>\nSteam Drier\n</font><br>\n蒸汽干燥器\n
Steam Ejector	<font size=5>\nSteam Ejector\n</font><br>\n蒸汽喷射器\n
Steam Emulsion Number	<font size=5>\nSteam Emulsion Number\n</font><br>\n蒸汽乳化值\n
Steam Funnel	<font size=5>\nSteam Funnel\n</font><br>\n蒸汽漏斗\n
Steam Generator	<font size=5>\nSteam Generator\n</font><br>\n蒸汽发生器\n
Steam Heating	<font size=5>\nSteam Heating\n</font><br>\n蒸汽加热\n
Steaming	<font size=5>\nSteaming\n</font><br>\n蒸汽加工\n
Steam Jacket	<font size=5>\nSteam Jacket\n</font><br>\n蒸汽套\n
Steam Jet	<font size=5>\nSteam Jet\n</font><br>\n蒸汽喷射\n
Steam Sterilizer	<font size=5>\nSteam Sterilizer\n</font><br>\n蒸汽杀菌器\n
Steam Trap	<font size=5>\nSteam Trap\n</font><br>\n汽水阀\n
Steam Valve	<font size=5>\nSteam Valve\n</font><br>\n蒸汽阀\n
Steam Vulcanization	<font size=5>\nSteam Vulcanization\n</font><br>\n蒸汽硫化\n
Stearate	<font size=5>\nStearate\n</font><br>\n硬脂酸盐\n
Stearic Acid	<font size=5>\nStearic Acid\n</font><br>\n硬脂酸\n
Stearic Acid Nitril	<font size=5>\nStearic Acid Nitril\n</font><br>\n硬脂腈\n
Stearin Candle	<font size=5>\nStearin Candle\n</font><br>\n硬脂蜡\n
Stearin Pitch	<font size=5>\nStearin Pitch\n</font><br>\n硬脂沥青\n
Stearonitril	<font size=5>\nStearonitril\n</font><br>\n硬脂腈\n
Stearyl Alcohol	<font size=5>\nStearyl Alcohol\n</font><br>\n硬脂醇\n
Stearyl Chloride	<font size=5>\nStearyl Chloride\n</font><br>\n硬脂酰氯\n
Steatite	<font size=5>\nSteatite\n</font><br>\n块滑石\n
Stechiometer	<font size=5>\nStechiometer\n</font><br>\n化学计量仪\n
Stechiometry	<font size=5>\nStechiometry\n</font><br>\n化学计量法\n
Steel	<font size=5>\nSteel\n</font><br>\n钢\n
Steeping	<font size=5>\nSteeping\n</font><br>\n浸渍\n
Stefan Boltzmann's Law	<font size=5>\nStefan Boltzmann's Law\n</font><br>\n斯蒂芬玻尔兹曼定律\n
Stephanite	<font size=5>\nStephanite\n</font><br>\n脆银矿\n
Stereochemical Formula	<font size=5>\nStereochemical Formula\n</font><br>\n立体化学式\n
Stereochemistry	<font size=5>\nStereochemistry\n</font><br>\n立体化学\n
Stereocopolymer	<font size=5>\nStereocopolymer\n</font><br>\n立体共聚物\n
Stereoelectronic Effect	<font size=5>\nStereoelectronic Effect\n</font><br>\n立体电子效应\n
Stereoformula	<font size=5>\nStereoformula\n</font><br>\n立体化学式\n
Stereoisomer	<font size=5>\nStereoisomer\n</font><br>\n立体异构体\n
Stereoisomerism	<font size=5>\nStereoisomerism\n</font><br>\n立体异构\n
Stereopolymerization	<font size=5>\nStereopolymerization\n</font><br>\n立体聚合\n
Stereoregular Polymer	<font size=5>\nStereoregular Polymer\n</font><br>\n立体定向聚合物\n
Stereoselective Reaction	<font size=5>\nStereoselective Reaction\n</font><br>\n立体选择反应\n
Stereoselectivity	<font size=5>\nStereoselectivity\n</font><br>\n立体选择性\n
Stereospecific Catalyst	<font size=5>\nStereospecific Catalyst\n</font><br>\n立体定向催化剂\n
Stereospecificity	<font size=5>\nStereospecificity\n</font><br>\n立体特异性\n
Stereospecific Polymer	<font size=5>\nStereospecific Polymer\n</font><br>\n立体定向聚合物\n
Stereospecific Polymerization	<font size=5>\nStereospecific Polymerization\n</font><br>\n立体定向聚合\n
Stereospecific Synthesis	<font size=5>\nStereospecific Synthesis\n</font><br>\n立体定向合成\n
Stereostructure	<font size=5>\nStereostructure\n</font><br>\n立体结构\n
Steric Effect	<font size=5>\nSteric Effect\n</font><br>\n位阻效应\n
Steric Factor	<font size=5>\nSteric Factor\n</font><br>\n位阻因素\n
Steric Strain	<font size=5>\nSteric Strain\n</font><br>\n空间应变\n
Sterile Cooling	<font size=5>\nSterile Cooling\n</font><br>\n杀菌冷却\n
Sterile Solution	<font size=5>\nSterile Solution\n</font><br>\n无菌溶液\n
Sterilization	<font size=5>\nSterilization\n</font><br>\n杀菌\n
Sterilizer	<font size=5>\nSterilizer\n</font><br>\n杀菌器\n
Steroide	<font size=5>\nSteroide\n</font><br>\n甾族化合物\n
Sterol	<font size=5>\nSterol\n</font><br>\n甾醇\n
Stibiconite	<font size=5>\nStibiconite\n</font><br>\n黄锑矿\n
Stibine	<font size=5>\nStibine\n</font><br>\n锑化氢\n
Stibonium Salt	<font size=5>\nStibonium Salt\n</font><br>\n四氢锑盐\n
Stickiness	<font size=5>\nStickiness\n</font><br>\n粘滞性\n
Sticking Probability	<font size=5>\nSticking Probability\n</font><br>\n粘着概率\n
Stick Lac	<font size=5>\nStick Lac\n</font><br>\n师虫胶\n
Stick Sulphur	<font size=5>\nStick Sulphur\n</font><br>\n棒状硫磺\n
Stigmasterol	<font size=5>\nStigmasterol\n</font><br>\n豆甾醇\n
Stilbene	<font size=5>\nStilbene\n</font><br>\n芪均二苯代乙烯\n
Stilbene Dye	<font size=5>\nStilbene Dye\n</font><br>\n芪染料\n
Stilbite	<font size=5>\nStilbite\n</font><br>\n束沸石\n
Still	<font size=5>\nStill\n</font><br>\n蒸馏锅\n
Still Head	<font size=5>\nStill Head\n</font><br>\n分馏头\n
Still Residue	<font size=5>\nStill Residue\n</font><br>\n蒸馏余液\n
Stirred Tank Reactor	<font size=5>\nStirred Tank Reactor\n</font><br>\n搅拌釜反应器\n
Stirrer	<font size=5>\nStirrer\n</font><br>\n搅拌机\n
Stirring	<font size=5>\nStirring\n</font><br>\n搅拌\n
Stochastic Differential Equation	<font size=5>\nStochastic Differential Equation\n</font><br>\n随机微分方程式\n
Stochastic Process	<font size=5>\nStochastic Process\n</font><br>\n随机过程\n
Stochastic Variable	<font size=5>\nStochastic Variable\n</font><br>\n随机变数\n
Stock Solution	<font size=5>\nStock Solution\n</font><br>\n储液\n
Stoichiometric Calculation	<font size=5>\nStoichiometric Calculation\n</font><br>\n化学计算\n
Stoichiometry	<font size=5>\nStoichiometry\n</font><br>\n化学计量学\n
Stoneware	<font size=5>\nStoneware\n</font><br>\n缸器\n
Stopping Power	<font size=5>\nStopping Power\n</font><br>\n制动能力\n
Stop Solution	<font size=5>\nStop Solution\n</font><br>\n停止液\n
Storage	<font size=5>\nStorage\n</font><br>\n储藏\n
Storage Battery	<font size=5>\nStorage Battery\n</font><br>\n蓄电池\n
Storage Life	<font size=5>\nStorage Life\n</font><br>\n储存寿命\n
Storage Loss	<font size=5>\nStorage Loss\n</font><br>\n贮存损失\n
Storage Tank	<font size=5>\nStorage Tank\n</font><br>\n储蓄槽\n
Storax	<font size=5>\nStorax\n</font><br>\n安息香\n
Straight Chain	<font size=5>\nStraight Chain\n</font><br>\n直链\n
Straight Chain Molecule	<font size=5>\nStraight Chain Molecule\n</font><br>\n直链分子\n
Straight Run Distillation	<font size=5>\nStraight Run Distillation\n</font><br>\n直接蒸馏\n
Straight Run Gasoline	<font size=5>\nStraight Run Gasoline\n</font><br>\n直馏汽油\n
Strain	<font size=5>\nStrain\n</font><br>\n应变\n
Strainer	<font size=5>\nStrainer\n</font><br>\n滤网\n
Stratcold Process	<font size=5>\nStratcold Process\n</font><br>\n斯特拉柯尔特法\n
Stratosphere	<font size=5>\nStratosphere\n</font><br>\n平零\n
Straw Pulp	<font size=5>\nStraw Pulp\n</font><br>\n草纸浆\n
Streaming Birefringence	<font size=5>\nStreaming Birefringence\n</font><br>\n怜双折射\n
Streaming Potential	<font size=5>\nStreaming Potential\n</font><br>\n怜电位\n
Streamline	<font size=5>\nStreamline\n</font><br>\n吝\n
Streamlined Shape	<font size=5>\nStreamlined Shape\n</font><br>\n吝型\n
Strecker's Synthesis	<font size=5>\nStrecker's Synthesis\n</font><br>\n斯特雷克尔合成\n
Strength	<font size=5>\nStrength\n</font><br>\n强度\n
Strength Of Solution	<font size=5>\nStrength Of Solution\n</font><br>\n溶液浓度\n
Streptococcus	<font size=5>\nStreptococcus\n</font><br>\n链球菌\n
Streptodornase	<font size=5>\nStreptodornase\n</font><br>\n链道酶\n
Streptokinase	<font size=5>\nStreptokinase\n</font><br>\n链激酶\n
Streptolin	<font size=5>\nStreptolin\n</font><br>\n黄链丝菌素\n
Streptomycin	<font size=5>\nStreptomycin\n</font><br>\n链霉素\n
Streptothricin	<font size=5>\nStreptothricin\n</font><br>\n链丝菌素\n
Stress	<font size=5>\nStress\n</font><br>\n应力\n
Stress Concentration	<font size=5>\nStress Concentration\n</font><br>\n应力集中\n
Stress Corrosion Cracking	<font size=5>\nStress Corrosion Cracking\n</font><br>\n应力腐蚀裂纹\n
Stress Relaxation	<font size=5>\nStress Relaxation\n</font><br>\n应力松弛\n
Stress Strain Diagram	<font size=5>\nStress Strain Diagram\n</font><br>\n应力应变图\n
Stretching Test	<font size=5>\nStretching Test\n</font><br>\n拉伸试验\n
Stretching Vibration	<font size=5>\nStretching Vibration\n</font><br>\n伸缩振动\n
Stretch Spinning Process	<font size=5>\nStretch Spinning Process\n</font><br>\n伸纺丝法\n
Striae	<font size=5>\nStriae\n</font><br>\n条纹\n
Stripped Atom	<font size=5>\nStripped Atom\n</font><br>\n裸原子\n
Stripping	<font size=5>\nStripping\n</font><br>\n汽提\n
Stripping Agent	<font size=5>\nStripping Agent\n</font><br>\n退色剂\n
Strong Acid	<font size=5>\nStrong Acid\n</font><br>\n强酸\n
Strong Base	<font size=5>\nStrong Base\n</font><br>\n强碱\n
Strong Electrolyte	<font size=5>\nStrong Electrolyte\n</font><br>\n强电解质\n
Strontium	<font size=5>\nStrontium\n</font><br>\n锶\n
Strontium Carbonate	<font size=5>\nStrontium Carbonate\n</font><br>\n碳酸锶\n
Strontium Chlorate	<font size=5>\nStrontium Chlorate\n</font><br>\n氯酸锶\n
Strontium Hydroxide	<font size=5>\nStrontium Hydroxide\n</font><br>\n氢氧化锶\n
Strontium Nitrate	<font size=5>\nStrontium Nitrate\n</font><br>\n硝酸锶\n
Strontium Oxide	<font size=5>\nStrontium Oxide\n</font><br>\n氧化锶\n
Strontium Sulfide	<font size=5>\nStrontium Sulfide\n</font><br>\n硫化锶\n
Strontium Yellow	<font size=5>\nStrontium Yellow\n</font><br>\n锶黄\n
Strophanthin	<font size=5>\nStrophanthin\n</font><br>\n毒毛旋花素\n
Strophanthus	<font size=5>\nStrophanthus\n</font><br>\n毒毛旋花属\n
Structural Chemistry	<font size=5>\nStructural Chemistry\n</font><br>\n结构化学\n
Structural Foam	<font size=5>\nStructural Foam\n</font><br>\n构造泡沫\n
Structural Formula	<font size=5>\nStructural Formula\n</font><br>\n结构式\n
Structural Isomer	<font size=5>\nStructural Isomer\n</font><br>\n结构同分异构体\n
Structural Isomerism	<font size=5>\nStructural Isomerism\n</font><br>\n结构同分异构\n
Structural Optimization	<font size=5>\nStructural Optimization\n</font><br>\n构架最佳化\n
Structural Phase Transition	<font size=5>\nStructural Phase Transition\n</font><br>\n结构相变\n
Structural Viscosity	<font size=5>\nStructural Viscosity\n</font><br>\n结构粘度\n
Structure Analysis	<font size=5>\nStructure Analysis\n</font><br>\n结构分析\n
Structure Design	<font size=5>\nStructure Design\n</font><br>\n结构设计\n
Structure Factor	<font size=5>\nStructure Factor\n</font><br>\n结构因子\n
Strychnine	<font size=5>\nStrychnine\n</font><br>\n士的宁\n
Strychnine Nitrate	<font size=5>\nStrychnine Nitrate\n</font><br>\n硝酸士的宁\n
Stuffing	<font size=5>\nStuffing\n</font><br>\n加脂\n
Styphnic Acid	<font size=5>\nStyphnic Acid\n</font><br>\n收敛酸\n
Styrax	<font size=5>\nStyrax\n</font><br>\n安息香\n
Styrenated Oil	<font size=5>\nStyrenated Oil\n</font><br>\n苯乙烯化油\n
Styrene	<font size=5>\nStyrene\n</font><br>\n苯乙烯\n
Styrene Butadiene Rubber	<font size=5>\nStyrene Butadiene Rubber\n</font><br>\n丁苯橡胶\n
Styrene Oxide	<font size=5>\nStyrene Oxide\n</font><br>\n氧化苯乙烯\n
Styrene Resin	<font size=5>\nStyrene Resin\n</font><br>\n苯乙烯尸\n
Styrol	<font size=5>\nStyrol\n</font><br>\n苯乙烯\n
Styrone	<font size=5>\nStyrone\n</font><br>\n肉桂醇\n
Styryl Alcohol	<font size=5>\nStyryl Alcohol\n</font><br>\n肉桂醇\n
Sub Bituminous Coal	<font size=5>\nSub Bituminous Coal\n</font><br>\n亚烟煤\n
Subchloride	<font size=5>\nSubchloride\n</font><br>\n低氯化物\n
Suberane	<font size=5>\nSuberane\n</font><br>\n环庚烷\n
Suberate	<font size=5>\nSuberate\n</font><br>\n辛二酸盐\n
Suberene	<font size=5>\nSuberene\n</font><br>\n环庚烯\n
Suberic Acid	<font size=5>\nSuberic Acid\n</font><br>\n辛二酸\n
Suberin	<font size=5>\nSuberin\n</font><br>\n软木脂\n
Subgroup	<font size=5>\nSubgroup\n</font><br>\n副族\n
Sublimate	<font size=5>\nSublimate\n</font><br>\n升华物\n
Sublimation	<font size=5>\nSublimation\n</font><br>\n升华\n
Sublimation Cooling	<font size=5>\nSublimation Cooling\n</font><br>\n升华冷却\n
Sublimation Curve	<font size=5>\nSublimation Curve\n</font><br>\n升华曲线\n
Sublimation Point	<font size=5>\nSublimation Point\n</font><br>\n升华点\n
Sublimed Sulfur	<font size=5>\nSublimed Sulfur\n</font><br>\n硫黄华\n
Submerged Combustion	<font size=5>\nSubmerged Combustion\n</font><br>\n沉没燃烧\n
Submicro Analysis	<font size=5>\nSubmicro Analysis\n</font><br>\n半微分析\n
Submicron	<font size=5>\nSubmicron\n</font><br>\n亚微细粒\n
Suboxide	<font size=5>\nSuboxide\n</font><br>\n低氧化物\n
Sub Reference Fuel	<font size=5>\nSub Reference Fuel\n</font><br>\n副标准燃料\n
Subsidiary Valence	<font size=5>\nSubsidiary Valence\n</font><br>\n副价\n
Subsiding Tank	<font size=5>\nSubsiding Tank\n</font><br>\n沉淀槽\n
Subsoil Water	<font size=5>\nSubsoil Water\n</font><br>\n地下水\n
Substance	<font size=5>\nSubstance\n</font><br>\n物质\n
Substantive Color	<font size=5>\nSubstantive Color\n</font><br>\n直接染料\n
Substantive Dye	<font size=5>\nSubstantive Dye\n</font><br>\n直接染料\n
Substantivity	<font size=5>\nSubstantivity\n</font><br>\n直接性\n
Substituent	<font size=5>\nSubstituent\n</font><br>\n取代基\n
Substitute	<font size=5>\nSubstitute\n</font><br>\n代用品\n
Substitution	<font size=5>\nSubstitution\n</font><br>\n取代\n
